Typical Measured Spectrum of Semrock FF01-446/523/600/677 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
456.2	0.98036
456.4	0.97778
456.6	0.97314
456.8	0.96706
457.0	0.95971
457.2	0.95364
457.4	0.94998
457.6	0.94805
457.8	0.95057
458.0	0.95825
458.2	0.96793
458.4	0.97671
458.6	0.98185
458.8	0.97948
459.0	0.97023
459.2	0.95449
459.4	0.93786
459.6	0.9247
459.8	0.91987
460.0	0.92329
460.2	0.93357
460.4	0.94545
460.6	0.95191
460.8	0.94681
461.0	0.93056
461.2	0.9056
461.4	0.8805
461.6	0.85781
461.8	0.83921
462.0	0.82173
462.2	0.80341
462.4	0.78851
462.6	0.78381
462.8	0.79725
463.0	0.82587
463.2	0.8522
463.4	0.8633
463.6	0.8767
463.8	0.8633
464.0	0.6162
464.2	0.21621
464.4	0.05212
464.6	0.01584
464.8	0.00737
465.0	0.00448
465.2	4.962e-04
465.4	2.1298e-04
465.6	1.0349e-04
465.8	5.726e-05
466.0	3.6231e-05
466.2	2.3505e-05
466.4	1.0159e-05
466.6	3.6503e-06
466.8	2.244e-06
467.0	1.4125e-06
467.2	1.1138e-06
467.4	1.0356e-06
467.6	8.7214e-07
467.8	4.0228e-07
468.0	3.5476e-07
468.2	3.5536e-07
468.4	2.7974e-07
468.6	3.1193e-07
468.8	1.5059e-07
469.0	3.446e-07
469.2	1.7852e-07
469.4	2.7615e-07
469.6	2.1893e-07
469.8	1.5572e-07
470.0	1.0699e-07
470.2	4.5799e-08
470.4	2.892e-07
470.6	2.2825e-07
470.8	1.8014e-07
471.0	1.2083e-07
471.2	7.3201e-08
471.4	5.2456e-08
471.6	1.8619e-07
471.8	2.7636e-07
472.0	2.7473e-07
472.2	2.6394e-07
472.4	2.1196e-07
472.6	1.7022e-07
472.8	2.1809e-07
473.0	3.4857e-07
473.2	1.946e-07
473.4	9.9881e-08
473.6	3.5117e-07
473.8	3.9752e-07
474.0	1.8526e-07
474.2	1.8311e-07
474.4	2.5656e-07
474.6	2.4719e-07
474.8	2.4066e-07
475.0	2.4859e-07
475.2	2.5678e-07
475.4	2.3997e-07
475.6	1.9911e-07
475.8	1.2317e-07
476.0	7.6189e-08
476.2	9.3297e-08
476.4	1.6637e-07
476.6	2.7398e-07
476.8	2.5845e-07
477.0	2.5277e-07
477.2	2.5177e-07
477.4	2.3889e-07
477.6	1.6829e-07
477.8	1.1855e-07
478.0	1.3703e-07
478.2	1.5385e-07
478.4	3.167e-07
478.6	2.0829e-07
478.8	7.9353e-08
479.0	1.1764e-07
479.2	2.0874e-07
479.4	6.7357e-08
479.6	9.9207e-08
479.8	1.4162e-07
480.0	1.6242e-07
480.2	1.8627e-07
480.4	2.2485e-07
480.6	2.8085e-07
480.8	3.5078e-07
481.0	4.3814e-07
481.2	5.4725e-07
481.4	6.8353e-07
481.6	6.2399e-07
481.8	5.254e-07
482.0	4.4239e-07
482.2	3.725e-07
482.4	3.1364e-07
482.6	2.6409e-07
482.8	3.0229e-07
483.0	3.471e-07
483.2	3.4877e-07
483.4	3.0149e-07
483.6	2.6063e-07
483.8	1.4795e-07
484.0	1.1915e-07
484.2	1.3919e-07
484.4	1.6259e-07
484.6	1.2906e-07
484.8	1.0164e-07
485.0	1.2112e-07
485.2	1.0508e-07
485.4	5.2794e-08
485.6	6.9275e-08
485.8	1.0467e-07
486.0	1.4296e-07
486.2	2.0592e-07
486.4	9.9396e-08
486.6	8.5829e-08
486.8	8.5531e-08
487.0	8.5235e-08
487.2	6.9393e-08
487.4	5.6496e-08
487.6	7.4684e-08
487.8	1.6692e-07
488.0	1.607e-07
488.2	1.5341e-07
488.4	1.5509e-07
488.6	1.6727e-07
488.8	1.8041e-07
489.0	2.209e-07
489.2	2.1647e-07
489.4	1.6785e-07
489.6	1.3016e-07
489.8	9.8625e-08
490.0	7.4697e-08
490.2	6.957e-08
490.4	4.9592e-08
490.6	1.9758e-07
490.8	9.0551e-08
491.0	2.8928e-07
491.2	2.93e-07
491.4	1.4356e-07
491.6	1.6148e-07
491.8	1.1773e-07
492.0	1.8871e-07
492.2	3.025e-07
492.4	2.4225e-07
492.6	1.8988e-07
492.8	1.6556e-07
493.0	1.6437e-07
493.2	1.5716e-07
493.4	1.5027e-07
493.6	1.6759e-07
