Typical Measured Spectrum of Semrock LP02-633RE Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
533.2	9.3697E-08
533.4	9.2007E-08
533.6	9.0347E-08
533.8	8.8717E-08
534	8.7117E-08
534.2	8.5545E-08
534.4	8.4002E-08
534.6	8.2487E-08
534.8	8.0999E-08
535	7.9538E-08
535.2	7.8635E-08
535.4	7.7832E-08
535.6	7.7037E-08
535.8	7.625E-08
536	7.5471E-08
536.2	7.47E-08
536.4	7.3937E-08
536.6	7.3182E-08
536.8	7.2435E-08
537	7.1695E-08
537.2	7.0866E-08
537.4	7.0023E-08
537.6	6.9189E-08
537.8	6.8366E-08
538	6.7552E-08
538.2	6.6748E-08
538.4	6.5954E-08
538.6	6.5168E-08
538.8	6.4393E-08
539	6.3626E-08
539.2	6.4813E-08
539.4	6.6751E-08
539.6	6.8747E-08
539.8	7.0803E-08
540	7.292E-08
540.2	7.5101E-08
540.4	7.7346E-08
540.6	7.9659E-08
540.8	8.2041E-08
541	8.4495E-08
541.2	8.7472E-08
541.4	9.0564E-08
541.6	9.3765E-08
541.8	9.708E-08
542	1.0051E-07
542.2	1.0406E-07
542.4	1.0774E-07
542.6	1.1155E-07
542.8	1.1549E-07
543	1.1958E-07
543.2	1.1835E-07
543.4	1.1655E-07
543.6	1.1478E-07
543.8	1.1304E-07
544	1.1132E-07
544.2	1.0963E-07
544.4	1.0796E-07
544.6	1.0632E-07
544.8	1.047E-07
545	1.0311E-07
545.2	1.0261E-07
545.4	1.0231E-07
545.6	1.0201E-07
545.8	1.0171E-07
546	1.0142E-07
546.2	1.0112E-07
546.4	1.0083E-07
546.6	1.0053E-07
546.8	1.0024E-07
547	9.9946E-08
547.2	9.9102E-08
547.4	9.8116E-08
547.6	9.7139E-08
547.8	9.6172E-08
548	9.5215E-08
