Typical Measured Spectrum of Semrock FF596-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
578.6	0.00149
578.8	0.00148
579.0	0.00151
579.2	0.00151
579.4	0.00152
579.6	0.00151
579.8	0.00153
580.0	0.00153
580.2	0.00157
580.4	0.00159
580.6	0.00157
580.8	0.00159
581.0	0.00164
581.2	0.00159
581.4	0.00164
581.6	0.00165
581.8	0.00165
582.0	0.00166
582.2	0.00168
582.4	0.00174
582.6	0.00174
582.8	0.00176
583.0	0.00177
583.2	0.00178
583.4	0.00183
583.6	0.00185
583.8	0.00185
584.0	0.0019
584.2	0.00193
584.4	0.00196
584.6	0.002
584.8	0.00202
585.0	0.00205
585.2	0.00209
585.4	0.00215
585.6	0.00222
585.8	0.0023
586.0	0.00237
586.2	0.00245
586.4	0.00255
586.6	0.00266
586.8	0.00277
587.0	0.00296
587.2	0.00312
587.4	0.00333
587.6	0.00356
587.8	0.00383
588.0	0.0042
588.2	0.0046
588.4	0.00509
588.6	0.0057
588.8	0.0064
589.0	0.00727
589.2	0.00843
589.4	0.00976
589.6	0.01137
589.8	0.01343
590.0	0.01613
590.2	0.01942
590.4	0.02359
590.6	0.0287
590.8	0.03487
591.0	0.04278
591.2	0.05222
591.4	0.06334
591.6	0.07659
591.8	0.09177
592.0	0.10902
592.2	0.1283
592.4	0.14913
592.6	0.17042
592.8	0.19293
593.0	0.21668
593.2	0.24187
593.4	0.26681
593.6	0.29128
593.8	0.31424
594.0	0.33568
594.2	0.35651
594.4	0.3765
594.6	0.39343
594.8	0.40902
595.0	0.42164
595.2	0.43308
595.4	0.44281
595.6	0.44889
595.8	0.45436
596.0	0.45825
596.2	0.46125
596.4	0.46378
596.6	0.46434
596.8	0.46478
597.0	0.46574
597.2	0.46606
597.4	0.46658
597.6	0.46566
597.8	0.46558
598.0	0.46495
598.2	0.46522
598.4	0.46631
598.6	0.46875
598.8	0.47146
599.0	0.47501
599.2	0.48131
599.4	0.48958
599.6	0.50042
599.8	0.51473
600.0	0.53267
600.2	0.55276
600.4	0.57806
600.6	0.60448
600.8	0.63445
601.0	0.66573
601.2	0.69704
601.4	0.72812
601.6	0.76021
601.8	0.78923
602.0	0.81856
602.2	0.84628
602.4	0.87071
602.6	0.89078
602.8	0.90797
603.0	0.92105
603.2	0.93277
603.4	0.94186
603.6	0.94796
603.8	0.95119
604.0	0.95405
604.2	0.95764
604.4	0.9593
604.6	0.961
604.8	0.96045
605.0	0.96024
605.2	0.96057
605.4	0.95827
605.6	0.95753
605.8	0.96015
606.0	0.95943
606.2	0.95903
606.4	0.9606
606.6	0.96125
606.8	0.96385
607.0	0.96357
607.2	0.96524
607.4	0.96465
607.6	0.96691
607.8	0.96786
608.0	0.96927
608.2	0.97168
608.4	0.97007
608.6	0.96985
608.8	0.96962
609.0	0.9704
609.2	0.97023
609.4	0.96984
609.6	0.96928
609.8	0.96878
610.0	0.96685
610.2	0.96694
610.4	0.96671
610.6	0.96412
610.8	0.96321
611.0	0.96221
611.2	0.96172
611.4	0.96343
611.6	0.96513
611.8	0.96387
612.0	0.96363
612.2	0.96644
612.4	0.96879
612.6	0.97134
612.8	0.97456
613.0	0.97527
613.2	0.97469
613.4	0.977
613.6	0.97806
613.8	0.97642
614.0	0.97665
614.2	0.97569
614.4	0.97536
614.6	0.97403
614.8	0.97364
615.0	0.97215
615.2	0.97045
615.4	0.96894
615.6	0.96825
615.8	0.9681
616.0	0.96893
616.2	0.96744
616.4	0.96715
616.6	0.96554
616.8	0.96561
617.0	0.9668
617.2	0.96653
617.4	0.96632
617.6	0.96774
617.8	0.96949
618.0	0.96959
618.2	0.96965
618.4	0.96982
618.6	0.97257
618.8	0.97219
619.0	0.97238
619.2	0.97121
619.4	0.97141
619.6	0.97263
619.8	0.97369
620.0	0.97166
620.2	0.97024
620.4	0.96967
620.6	0.96787
620.8	0.96734
621.0	0.96645
621.2	0.96282
621.4	0.96056
621.6	0.95892
621.8	0.95823
622.0	0.95907
622.2	0.95813
622.4	0.95689
622.6	0.95601
622.8	0.95611
623.0	0.95718
623.2	0.95714
623.4	0.95676
623.6	0.95869
623.8	0.95898
624.0	0.96112
624.2	0.96297
624.4	0.96469
624.6	0.96504
624.8	0.96671
625.0	0.96725
625.2	0.96949
625.4	0.97203
625.6	0.97406
625.8	0.97515
626.0	0.97651
626.2	0.97642
626.4	0.97727
